famille;produit;cote_2026;derniere_vente;adj_min;adj_max;nb_adj;vivante;adjudications (date:prix);id
VEP;Chartreuse Jaune V.E.P. Mise 2023 1L.;377.56;2026-07-17;312.0;429.0;4;oui;2025-04-18:312 | 2025-07-18:393 | 2025-07-18:358 | 2026-07-17:429;215989
VEP;Chartreuse Jaune V.E.P. Mise 2024 1L.;374.69;2025-04-18;310.0;310.0;2;oui;2025-04-18:310 | 2025-04-18:310;234462
VEP;Chartreuse Verte V.E.P. 200th Anniversary of American Independance - bottled 1975 Special Limited Edition;5661.29;;;;0;non;;232665
VEP;Chartreuse Verte V.E.P. Mise 1964 1L.;1907.2;2026-04-24;1788.0;2205.0;3;oui;2025-04-18:2205 | 2025-12-12:1788 | 2026-04-24:1907;234501
VEP;Chartreuse Verte V.E.P. Mise 1968 1L.;2161.65;2025-12-12;1550.0;1966.0;3;oui;2024-08-02:1966 | 2025-10-03:1788 | 2025-12-12:1550;232081
VEP;Chartreuse Verte V.E.P. Mise 1970 1L.;2089.59;2025-03-14;1728.0;1728.0;1;oui;2025-03-14:1728;234071
VEP;Chartreuse Verte V.E.P. Mise 1972;1490.01;2024-04-19;1132.0;1252.0;2;non;2024-01-19:1252 | 2024-04-19:1132;230665
VEP;Chartreuse Verte V.E.P. Mise 1974;1532.58;2023-02-03;1416.0;1416.0;1;non;2023-02-03:1416;210131
VEP;Chartreuse Verte V.E.P. Mise 1975 1L.;1729.32;2025-12-12;834.0;1430.0;3;oui;2024-01-19:1192 | 2025-10-03:1430 | 2025-12-12:834;230664
VEP;Chartreuse Verte V.E.P. Mise 1992 1L.;691.73;2025-06-06;572.0;572.0;1;oui;2025-06-06:572;235021
VEP;Chartreuse Verte V.E.P. Mise 1995 50cl.;610.46;2024-11-15;464.0;536.0;4;non;2024-08-02:464 | 2024-08-02:536 | 2024-08-02:488 | 2024-11-15:489;185592
VEP;Chartreuse Verte V.E.P. Mise 1997 1L.;936.71;2025-07-18;775.0;775.0;1;oui;2025-07-18:775;235069
VEP;Chartreuse Verte V.E.P. Mise 1997 50cl.;625.8;2024-11-15;465.0;536.0;2;non;2024-11-15:536 | 2024-11-15:465;232202
VEP;Chartreuse Verte V.E.P. Mise 1999 50cl.;662.9;2025-03-14;548.0;548.0;1;oui;2025-03-14:548;234242
VEP;Chartreuse Verte V.E.P. Mise 2000;894.0;2026-04-24;715.0;894.0;4;oui;2022-02-11:885 | 2023-03-17:826 | 2024-01-19:715 | 2026-04-24:894;181681
VEP;Chartreuse Verte V.E.P. Mise 2001 1L.;634.08;2025-04-18;524.0;524.0;1;oui;2025-04-18:524;234703
VEP;Chartreuse Verte V.E.P. Mise 2007 1L.;605.26;2025-10-03;501.0;501.0;1;oui;2025-10-03:501;235202
VEP;Chartreuse Verte V.E.P. Mise 2007 50cl.;408.69;2023-03-17;378.0;378.0;1;non;2023-03-17:378;214470
VEP;Chartreuse Verte V.E.P. Mise 2008 50cl.;383.14;2023-03-17;354.0;354.0;1;non;2023-03-17:354;214471
VEP;Chartreuse Verte V.E.P. Mise 2010;464.45;2023-11-03;429.0;429.0;1;non;2023-11-03:429;230075
VEP;Chartreuse Verte V.E.P. Mise 2010 50cl.;383.14;2023-03-17;354.0;354.0;1;non;2023-03-17:354;214472
VEP;Chartreuse Verte V.E.P. Mise 2011 1L.;1355.91;2024-12-13;1085.0;1085.0;1;non;2024-12-13:1085;233150
VEP;Chartreuse Verte V.E.P. Mise 2011 50cl.;514.06;2024-04-19;322.0;543.0;3;non;2023-02-03:543 | 2024-03-08:501 | 2024-04-19:322;209569
VEP;Chartreuse Verte V.E.P. Mise 2012;374.14;2021-12-10;342.0;342.0;1;non;2021-12-10:342;178567
VEP;Chartreuse Verte V.E.P. Mise 2015 50cl.;302.63;2025-04-18;250.0;250.0;1;oui;2025-04-18:250;234781
VEP;Chartreuse Verte V.E.P. Mise 2016 1L.;634.08;2025-07-18;524.0;524.0;1;oui;2025-07-18:524;235135
VEP;Chartreuse Verte V.E.P. Mise 2016 3L.;3458.63;2025-03-14;2861.0;2861.0;1;oui;2025-03-14:2861;233896
VEP;Chartreuse Verte V.E.P. Mise 2017 3L.;3386.58;2025-04-18;2622.0;2980.0;2;oui;2025-03-14:2980 | 2025-04-18:2622;233897
VEP;Chartreuse Verte V.E.P. Mise 2018 1L.;387.4;2026-06-12;310.0;477.0;2;oui;2024-03-08:310 | 2026-06-12:477;231261
VEP;Chartreuse Verte V.E.P. Mise 2019 1L.;405.28;2026-04-24;310.0;405.0;4;oui;2024-03-08:310 | 2024-04-19:405 | 2026-04-24:405 | 2026-04-24:405;231262
VEP;Chartreuse Verte V.E.P. Mise 2020 1L.;389.1;2025-07-18;310.0;405.0;4;oui;2025-04-18:322 | 2025-04-18:310 | 2025-06-06:322 | 2025-07-18:405;168152
VEP;Chartreuse Verte V.E.P. Mise 2021 1L.;374.69;2025-06-06;298.0;322.0;4;oui;2025-04-18:298 | 2025-04-18:322 | 2025-06-06:310 | 2025-06-06:310;214729
