famille;produit;cote_2026;derniere_vente;adj_min;adj_max;nb_adj;vivante;adjudications (date:prix);id
Éditions limitées;Chartreuse Verte Santa Tecla 2021 Serie Limitada;149.01;2024-03-08;113.0;177.0;4;non;2023-02-03:177 | 2024-03-08:113 | 2024-03-08:119 | 2024-03-08:143;210089
Éditions limitées;Chartreuse Verte Une Chartreuse Mise 2015;;;;;0;non;;232298
Éditions limitées;Chartreuse Verte Une Chartreuse Mise 2016;3799.53;2024-08-02;2980.0;3099.0;2;non;2024-04-19:3099 | 2024-08-02:2980;231430
Éditions limitées;Chartreuse Verte Une Chartreuse Mise 2022 - One of 120;3277.52;2024-08-02;2622.0;2622.0;1;non;2024-08-02:2622;232121
Mises courantes;Chartreuse Jaune;116.73;2025-12-12;57.0;191.0;4;oui;2025-03-14:191 | 2025-06-06:57 | 2025-06-06:97 | 2025-12-12:107;233698
Mises courantes;Chartreuse Jaune Mise 2016;97.74;2026-01-30;98.0;132.0;2;oui;2025-10-03:132 | 2026-01-30:98;235420
Mises courantes;Chartreuse Jaune Mise 2017 Trade Coktail Group Import;116.73;2025-10-03;97.0;97.0;1;oui;2025-10-03:97;235421
Mises courantes;Chartreuse Jaune Mise 2018;116.73;2025-10-03;97.0;97.0;1;oui;2025-10-03:97;235422
Mises courantes;Chartreuse Jaune Mise 2019;73.9;2026-01-30;57.0;74.0;2;oui;2024-06-07:57 | 2026-01-30:74;231685
Mises courantes;Chartreuse Jaune Mise 2021;85.03;2025-06-06;70.0;70.0;1;oui;2025-06-06:70;235022
Mises courantes;Chartreuse Jaune Mise 2022;41.27;2023-07-21;38.0;38.0;2;non;2023-07-21:38 | 2023-07-21:38;223052
Mises courantes;Chartreuse Jaune Mise 2023 35cl.;49.18;2024-11-15;39.0;39.0;1;non;2024-11-15:39;232903
Mises courantes;Chartreuse La Chartreuse bottled 2017 Velier 70 years old 50cl.;149.01;2024-11-15;119.0;119.0;1;non;2024-11-15:119;233045
Mises courantes;Chartreuse Verte;121.05;2025-10-03;51.0;180.0;4;oui;2025-06-06:132 | 2025-06-06:108 | 2025-06-06:51 | 2025-10-03:180;232927
Mises courantes;Chartreuse Verte 250 ans;208.6;2024-11-15;167.0;167.0;1;non;2024-11-15:167;233060
Mises courantes;Chartreuse Verte 3L;593.46;2022-12-09;543.0;543.0;1;non;2022-12-09:543;207789
Mises courantes;Chartreuse Verte Mise 2017 Trade Coktail Group Import;125.37;2025-10-03;104.0;104.0;1;oui;2025-10-03:104;235424
Mises courantes;Chartreuse Verte Mise 2019;73.9;2026-01-30;74.0;92.0;2;oui;2025-10-03:92 | 2026-01-30:74;235423
Mises courantes;Chartreuse Verte Mise 2020;48.37;2026-01-30;42.0;74.0;3;oui;2022-12-09:46 | 2022-12-09:42 | 2026-01-30:74;209070
Mises courantes;Chartreuse Verte Mise 2022;46.44;2023-07-21;43.0;43.0;2;non;2023-07-21:43 | 2023-07-21:43;223053
Mises courantes;Chartreuse Verte Mise 2023;82.14;2025-07-18;68.0;68.0;1;oui;2025-07-18:68;235131
Mises courantes;Chartreuse Verte Mise 2023 Coffret avec 2 verres;75.98;2024-03-08;57.0;67.0;4;non;2024-03-08:67 | 2024-03-08:61 | 2024-03-08:57 | 2024-03-08:61;231227
Élixir végétal;Chartreuse Elixir Végétal;153.26;2023-03-17;142.0;142.0;1;non;2023-03-17:142;214509
Élixir végétal;Chartreuse Elixir Végétal Porcelain decanter 100ml.;78.97;2024-11-15;51.0;86.0;3;non;2024-01-19:86 | 2024-11-15:63 | 2024-11-15:51;231072
